sample	strain	publication	study	study_id	year	location	lat	lon	copynumber	more_than1	presence	period
SRR23103981	mel33	https://doi.org/10.1126/sciadv.adh3425	PRJNA924877	Chen2024	2017	Wuhai, Inner Mongolia	39	100	55.170820829051046	8004	present	2017-2019
SRR23103904	mel67	https://doi.org/10.1126/sciadv.adh3425	PRJNA924911	Chen2024	2017	Changsha, Hunan	28	113	51.30492680141601	8004	present	2017-2019
SRR23103920	mel21	https://doi.org/10.1126/sciadv.adh3425	PRJNA924865	Chen2024	2017	Linhe, Bayannur, Inner Mongolia	40	107	49.83050451067717	7816	present	2017-2019
SRR23103783	mel88	https://doi.org/10.1126/sciadv.adh3425	PRJNA924932	Chen2024	2017	Jiamusi, Heilongjiang	46	130	47.19904853260249	7701	present	2017-2019
SRR23103906	mel65	https://doi.org/10.1126/sciadv.adh3425	PRJNA924909	Chen2024	2017	Changsha, Hunan	28	113	46.7963730729702	8002	present	2017-2019
SRR23103937	mel197	https://doi.org/10.1126/sciadv.adh3425	PRJNA925038	Chen2024	2017	Dalian, Liaoning	38	121	45.26611350919264	7832	present	2017-2019
SRR23103910	mel62	https://doi.org/10.1126/sciadv.adh3425	PRJNA924906	Chen2024	2017	Erdaobaihezhen, Jilin	42	128	43.62357131437707	8003	present	2017-2019
SRR23104043	mel217	https://doi.org/10.1126/sciadv.adh3425	PRJNA925058	Chen2024	2017	Lhasa, Tibet	29	91	42.510217882836585	7977	present	2017-2019
SRR23103905	mel66	https://doi.org/10.1126/sciadv.adh3425	PRJNA924910	Chen2024	2017	Changsha, Hunan	28	113	42.3693289939477	8003	present	2017-2019
SRR23103844	mel37	https://doi.org/10.1126/sciadv.adh3425	PRJNA924881	Chen2024	2017	Shanghai	30	120	41.5493387004682	8002	present	2017-2019
SRR23103942	mel192	https://doi.org/10.1126/sciadv.adh3425	PRJNA925033	Chen2024	2017	Rizhao, Shandong	35	118	36.56823387004682	8002	present	2017-2019
SRR23103984	mel30	https://doi.org/10.1126/sciadv.adh3425	PRJNA924874	Chen2024	2017	Suzhou, Jiangsu	31	120	34.15324928628526	8003	present	2017-2019
SRR306611	UM118_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Uganda	2	31	31.946151650108487	7866	present	2010-2017
Minca	CO_Mag_Sie_1_2019-07-24	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Colombia	11.14361	-74.11778	31.77441178485783	7943	present	2017-2019
SRR23103757	mel130	https://doi.org/10.1126/sciadv.adh3425	PRJNA924973	Chen2024	2017	Taian, Shandong	36	116	31.63745266643828	8001	present	2017-2019
SRR23103827	mel51	https://doi.org/10.1126/sciadv.adh3425	PRJNA924895	Chen2024	2017	Changchun, Jilin	43	125	30.53174603174603	7835	present	2017-2019
SRR23103767	SZ5	https://doi.org/10.1126/sciadv.adh3425	PRJNA925132	Chen2024	2017	Suzhou, Jiangsu	31	120	30.325794221765445	7980	present	2017-2019
SRR23103769	SZ1	https://doi.org/10.1126/sciadv.adh3425	PRJNA925131	Chen2024	2017	Suzhou, Jiangsu	31	120	29.847884321114535	7857	present	2017-2019
SRR23103822	mel55	https://doi.org/10.1126/sciadv.adh3425	PRJNA924899	Chen2024	2017	Mohe, Heilongjiang	53	122	29.74648852346694	8001	present	2017-2019
SRR23103837	mel43	https://doi.org/10.1126/sciadv.adh3425	PRJNA924887	Chen2024	2017	Shenyang, Liaoning	41	123	29.593168779262303	7854	present	2017-2019
SRR23103764	mel124	https://doi.org/10.1126/sciadv.adh3425	PRJNA924967	Chen2024	2017	Yanji, Jilin	42	129	29.358230215827337	8002	present	2017-2019
SRR23103818	mel59	https://doi.org/10.1126/sciadv.adh3425	PRJNA924903	Chen2024	2017	Erdaobaihezhen, Jilin	42	128	29.28539933767272	8003	present	2017-2019
SRR23104001	mel28	https://doi.org/10.1126/sciadv.adh3425	PRJNA924872	Chen2024	2017	Suzhou, Jiangsu	31	120	28.99812264474135	7980	present	2017-2019
SRR23103755	mel132	https://doi.org/10.1126/sciadv.adh3425	PRJNA924975	Chen2024	2017	Taian, Shandong	36	116	27.841490236382324	7814	present	2017-2019
SRR23103852	mel266	https://doi.org/10.1126/sciadv.adh3425	PRJNA925107	Chen2024	2020	Chongqing	29	106	25.93358581706064	7999	present	2020-2021
SRR23103941	mel193	https://doi.org/10.1126/sciadv.adh3425	PRJNA925034	Chen2024	2017	Rizhao, Shandong	35	118	25.52498561151079	7686	present	2017-2019
SRR23104012	mel27	https://doi.org/10.1126/sciadv.adh3425	PRJNA924871	Chen2024	2017	Suzhou, Jiangsu	31	120	23.534439990864453	8004	present	2017-2019
SRR23103887	mel81	https://doi.org/10.1126/sciadv.adh3425	PRJNA924925	Chen2024	2017	Harbin, Heilongjiang	45	126	23.510750371131667	7797	present	2017-2019
SRR23103990	mel29	https://doi.org/10.1126/sciadv.adh3425	PRJNA924873	Chen2024	2017	Suzhou, Jiangsu	31	120	22.506444558638805	7954	present	2017-2019
SRR23104008	mel272	https://doi.org/10.1126/sciadv.adh3425	PRJNA925113	Chen2024	2020	Mile City, Yunnan	24	103	22.094042251912757	7999	present	2020-2021
SRR23103861	mel259	https://doi.org/10.1126/sciadv.adh3425	PRJNA925100	Chen2024	2020	Suining, Sichuan	30	105	21.549590270640632	7930	present	2020-2021
SRR23103843	mel38	https://doi.org/10.1126/sciadv.adh3425	PRJNA924882	Chen2024	2017	Shanghai	30	120	20.94612047504853	8001	present	2017-2019
SRR23103853	mel265	https://doi.org/10.1126/sciadv.adh3425	PRJNA925106	Chen2024	2020	Chongqing	29	106	20.639578166038596	7998	present	2020-2021
SRR23103789	mel185	https://doi.org/10.1126/sciadv.adh3425	PRJNA925026	Chen2024	2017	Qiqihar, Heilongjiang	47	123	20.621051159072746	8000	present	2017-2019
SRR23104007	mel273	https://doi.org/10.1126/sciadv.adh3425	PRJNA925114	Chen2024	2020	Leshan, Sichuan	29	103	20.601784401050587	7978	present	2020-2021
SRR23103989	mel290	https://doi.org/10.1126/sciadv.adh3425	PRJNA925128	Chen2024	2020	Nanning, Guangxi	22	108	20.59884389631152	7859	present	2020-2021
SRR23103997	mel282	https://doi.org/10.1126/sciadv.adh3425	PRJNA925121	Chen2024	2020	Bijie, Guizhou	27	106	20.115540253511476	7996	present	2020-2021
SRR23103763	mel125	https://doi.org/10.1126/sciadv.adh3425	PRJNA924968	Chen2024	2017	Yanji, Jilin	42	129	19.49316078565719	7807	present	2017-2019
SRR23103987	mel291	https://doi.org/10.1126/sciadv.adh3425	PRJNA925129	Chen2024	2020	Nanning, Guangxi	22	108	19.16282859426744	7978	present	2020-2021
SRR23103986	mel292	https://doi.org/10.1126/sciadv.adh3425	PRJNA925130	Chen2024	2020	Guilin, Guangxi	25	110	19.12601427429485	7998	present	2020-2021
SRR23103859	mel260	https://doi.org/10.1126/sciadv.adh3425	PRJNA925101	Chen2024	2020	Suining, Sichuan	30	105	18.97172547676145	7995	present	2020-2021
SRR23103993	mel287	https://doi.org/10.1126/sciadv.adh3425	PRJNA925125	Chen2024	2020	Changsha, Hunan	28	113	18.718198926573027	7997	present	2020-2021
SRR23103995	mel285	https://doi.org/10.1126/sciadv.adh3425	PRJNA925123	Chen2024	2020	Changsha, Hunan	28	113	18.467329679113853	7996	present	2020-2021
SRR23103994	mel286	https://doi.org/10.1126/sciadv.adh3425	PRJNA925124	Chen2024	2020	Changsha, Hunan	28	113	17.95511510791367	7996	present	2020-2021
SRR23103808	mel17	https://doi.org/10.1126/sciadv.adh3425	PRJNA924861	Chen2024	2017	Dandong, Liaoning	40	124	17.927406417722963	7697	present	2017-2019
SRR23103790	mel184	https://doi.org/10.1126/sciadv.adh3425	PRJNA925025	Chen2024	2017	Qiqihar, Heilongjiang	47	123	17.43336576453123	7997	present	2017-2019
SRR23104002	mel279	https://doi.org/10.1126/sciadv.adh3425	PRJNA925119	Chen2024	2020	Guilin, Guangxi	25	110	16.851810323170035	7997	present	2020-2021
SRR23104003	mel278	https://doi.org/10.1126/sciadv.adh3425	PRJNA925118	Chen2024	2020	Suining, Sichuan	30	105	16.83230227246774	7997	present	2020-2021
SRR23103996	mel283	https://doi.org/10.1126/sciadv.adh3425	PRJNA925122	Chen2024	2020	Bijie, Guizhou	27	106	16.60272718967683	7994	present	2020-2021
SRR23103849	mel269	https://doi.org/10.1126/sciadv.adh3425	PRJNA925110	Chen2024	2020	Changsha, Hunan	28	113	16.546689962315863	7998	present	2020-2021
SRR23104006	mel275	https://doi.org/10.1126/sciadv.adh3425	PRJNA925115	Chen2024	2020	Chengdu, Sichuan	30	104	16.357099120703438	7995	present	2020-2021
SRR23103857	mel261	https://doi.org/10.1126/sciadv.adh3425	PRJNA925102	Chen2024	2020	Suining, Sichuan	30	105	16.108991663811807	7992	present	2020-2021
SRR23103998	mel281	https://doi.org/10.1126/sciadv.adh3425	PRJNA925120	Chen2024	2020	Bijie, Guizhou	27	106	16.045531117962774	7988	present	2020-2021
DrosEu-37	TR_Ank_Yes_1_2020-06-26	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Turkey	40.231444	32.260328	15.624969281717483	7979	present	2020-2021
SRR23104005	mel276	https://doi.org/10.1126/sciadv.adh3425	PRJNA925116	Chen2024	2020	Chengdu, Sichuan	30	104	14.997696128811237	7996	present	2020-2021
DrosEu-42	TR_Ank_Yes_1_2021-05-19	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Turkey	40.231444	32.260328	14.955177914811008	7971	present	2020-2021
DrosEu-45	TR_Ank_Yes_1_2021-08-19	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Turkey	40.231447	32.260331	14.535678200296903	7983	present	2020-2021
SRR23104009	mel271	https://doi.org/10.1126/sciadv.adh3425	PRJNA925112	Chen2024	2020	Mile City, Yunnan	24	103	14.46203814091584	7997	present	2020-2021
SRR306609	UM37_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Uganda	2	31	14.26487450039968	7862	present	2010-2017
SRR23104010	mel270	https://doi.org/10.1126/sciadv.adh3425	PRJNA925111	Chen2024	2020	Changsha, Hunan	28	113	14.098952837729817	7990	present	2020-2021
SRR23103855	mel263	https://doi.org/10.1126/sciadv.adh3425	PRJNA925104	Chen2024	2020	Suining, Sichuan	30	105	13.76410357428343	7997	present	2020-2021
SRR23104028	mel23	https://doi.org/10.1126/sciadv.adh3425	PRJNA924867	Chen2024	2017	Linhe, Bayannur, Inner Mongolia	40	107	13.649401050588102	7993	present	2017-2019
SRR23103936	mel198	https://doi.org/10.1126/sciadv.adh3425	PRJNA925039	Chen2024	2017	Dalian, Liaoning	38	121	13.592581020897567	7683	present	2017-2019
SRR23103991	mel289	https://doi.org/10.1126/sciadv.adh3425	PRJNA925127	Chen2024	2020	Nanning, Guangxi	20	108	13.450102089756768	7991	present	2020-2021
SRR23103968	mel143	https://doi.org/10.1126/sciadv.adh3425	PRJNA924984	Chen2024	2017	Beijing	40	116	13.370995432225648	7981	present	2017-2019
DrosEu-46	TR_Ank_Yes_1_2021-09-20	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Turkey	40.231448	32.260332	13.330350576681512	7974	present	2020-2021
DrosEu-41	TR_Ank_Yes_1_2020-10-14	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Turkey	40.231444	32.260328	13.301594838414982	7999	present	2020-2021
DrosEu-67	UA_Don_Mar_2_2021-08-23	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	47.10500532	37.66617511	13.22420338015302	7794	present	2020-2021
SRR23103858	mel113	https://doi.org/10.1126/sciadv.adh3425	PRJNA924956	Chen2024	2017	Jinan, Shandong	36	117	12.722965056526208	7927	present	2017-2019
SRR23103909	mel63	https://doi.org/10.1126/sciadv.adh3425	PRJNA924907	Chen2024	2017	Erdaobaihezhen, Jilin	42	128	12.71934692246203	7999	present	2017-2019
SRR23103979	HLE8	https://doi.org/10.1126/sciadv.adh3425	PRJNA925134	Chen2024	2017	Hailar, Inner Mongolia	49	119	12.673669749914357	7987	present	2017-2019
DrosEu-36	TR_Ank_Yes_1_2020-05-21	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Turkey	40.231444	32.260328	12.65990499029348	7974	present	2020-2021
SRR23104024	mel233	https://doi.org/10.1126/sciadv.adh3425	PRJNA925074	Chen2024	2017	Lhasa, Tibet	29	91	12.496072970195272	7991	present	2017-2019
DrosEu-47	TR_Ank_Yes_1_2021-10-16	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Turkey	40.231449	32.260333	12.487518556583304	7985	present	2020-2021
SRR23103992	mel288	https://doi.org/10.1126/sciadv.adh3425	PRJNA925126	Chen2024	2020	Changsha, Hunan	28	113	12.369762932511136	7994	present	2020-2021
SRR23103788	mel186	https://doi.org/10.1126/sciadv.adh3425	PRJNA925027	Chen2024	2017	Qiqihar, Heilongjiang	47	123	12.177811122530548	7996	present	2017-2019
DrosEu-43	TR_Ank_Yes_1_2021-06-25	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Turkey	40.231445	32.260329	12.12818727874843	7991	present	2020-2021
DrosEu-74	IT_Tre_San_1_2021-06-28	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Italy	46.187389	11.13636	12.118051159072742	7989	present	2020-2021
SRR23103902	mel69	https://doi.org/10.1126/sciadv.adh3425	PRJNA924913	Chen2024	2017	Fuyuan, Heilongjiang	48	130	11.867912869704236	7985	present	2017-2019
DrosEu-68	UA_Don_Mar_1_2021-08-23	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Ukraine	47.124453	37.690053	11.831010505881007	7816	present	2020-2021
SRR23103854	mel264	https://doi.org/10.1126/sciadv.adh3425	PRJNA925105	Chen2024	2020	Chongqing	29	106	11.738773210003426	7928	present	2020-2021
Melgar	CO_Tol_Mel_1_2019-06-11	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Colombia	4.203889	-74.64278	11.452578508621674	7863	present	2017-2019
SRR23104023	mel11	https://doi.org/10.1126/sciadv.adh3425	PRJNA924855	Chen2024	2017	Duolun County, Inner Mongolia	40	116	11.270084047048076	7693	present	2017-2019
DrosEu-35	TR_Ank_Yes_1_2019-10-10	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Turkey	40.231444	32.260328	11.141560123329908	7831	present	2017-2019
DrosEu-38	TR_Ank_Yes_1_2020-07-13	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Turkey	40.231444	32.260328	10.591134520954665	7981	present	2020-2021
DrosEu-39	TR_Ank_Yes_1_2020-08-18	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Turkey	40.231444	32.260328	10.316	7972	present	2020-2021
DrosEu-34	TR_Ank_Yes_1_2019-09-17	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2019	Turkey	40.231444	32.260328	10.243010962658444	7930	present	2017-2019
SRR23104004	mel277	https://doi.org/10.1126/sciadv.adh3425	PRJNA925117	Chen2024	2020	Chengdu, Sichuan	30	104	9.83553328765559	7986	present	2020-2021
SRR23103851	mel267	https://doi.org/10.1126/sciadv.adh3425	PRJNA925108	Chen2024	2020	Chongqing	29	106	9.78286399451867	7840	present	2020-2021
DrosEu-44	TR_Ank_Yes_1_2021-07-27	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	Turkey	40.231446	32.26033	9.772727418065548	7966	present	2020-2021
SRR23103842	mel39	https://doi.org/10.1126/sciadv.adh3425	PRJNA924883	Chen2024	2017	Shenyang, Liaoning	41	123	9.728751170492178	7822	present	2017-2019
SRR23103907	mel64	https://doi.org/10.1126/sciadv.adh3425	PRJNA924908	Chen2024	2017	Changsha, Hunan	28	113	9.086612995318031	7769	present	2017-2019
SRR23103791	mel183	https://doi.org/10.1126/sciadv.adh3425	PRJNA925024	Chen2024	2017	Qiqihar, Heilongjiang	47	123	8.855496631266416	7991	present	2017-2019
SRR306612	UM526_1-HE	https://doi.org/10.1371/journal.pgen.1003080	PRJNA30085	Pool2012	2010	Uganda	2	31	8.833382322713257	7858	present	2010-2017
SRR23103787	mel187	https://doi.org/10.1126/sciadv.adh3425	PRJNA925028	Chen2024	2017	Qiqihar, Heilongjiang	47	123	8.789566061436565	7985	present	2017-2019
SRR23104039	mel220	https://doi.org/10.1126/sciadv.adh3425	PRJNA925061	Chen2024	2017	Lhasa, Tibet	29	91	8.454442731529063	7956	present	2017-2019
Santa_Maria	BR_Rio_San_1_2020-01-06	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Brazil	-29.67833	-53.69	8.390461573598264	7815	present	2020-2021
DrosEu-40	TR_Ank_Yes_1_2020-09-16	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	Turkey	40.231444	32.260328	8.19484789311408	7942	present	2020-2021
DrosEu-248	US_Vir_Cha_1_2020-08-21	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2020	USA	37.979	-78.4897	7.933649080735412	7617	present	2020-2021
SRR23103980	BJC5	https://doi.org/10.1126/sciadv.adh3425	PRJNA925133	Chen2024	2017	Mohe, Heilongjiang	53	122	7.842459518099806	7985	present	2017-2019
DrosEu-242	US_Vir_Cha_1_2021-10-15	https://doi.org/10.1101/2024.11.10.622744	DEST2	Nunez2024	2021	USA	37.979	-78.4897	7.749118076966998	7897	present	2020-2021
