name	genus	species	subspecies	species_group	species_subgroup	group	group2	realm1	realm2	region		notes
A.albilabris	Amiota	albilabris				other drosophilids	other drosophilids	Palearctic	Palearctic	Palearctic		
A.communis	Amiota	communis				other drosophilids	other drosophilids	Nearctic	Nearctic	Nearctic		
A.mariae	Amiota	mariae				other drosophilids	other drosophilids	Nearctic	Nearctic	Nearctic		
A.minor	Amiota	minor				other drosophilids	other drosophilids	Nearctic	Nearctic	Nearctic		
C.amoena	Chymomyza	amoena				other drosophilids	other drosophilids	Nearctic	Nearctic	Nearctic		introduced in PA
C.caudatula	Chymomyza	caudatula				other drosophilids	other drosophilids	Palearctic	Palearctic	Palearctic		introduced in NE
C.costata	Chymomyza	costata				other drosophilids	other drosophilids	Palearctic	Palearctic	Palearctic		introduced in NE
C.indagator.DO22-1	Cacoxenus	indagator				other drosophilids	other drosophilids	Palearctic	Palearctic	Palearctic		
C.indagator.DO22-2	Cacoxenus	indagator				other drosophilids	other drosophilids	Palearctic	Palearctic	Palearctic		
C.kirishimana	Collessia	kirishimana				other drosophilids	other drosophilids	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
C.kotana	Colocasiomyia	kotana				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
C.procnemis	Chymomyza	procnemis				other drosophilids	other drosophilids	Nearctic	Nearctic	Nearctic		introduced in PA
D.acutilabella	Drosophila	acutilabella			cardini	immigrans-tripunctata	immigrans-tripunctata	Neotropic	Neotropic	Neotropic		
D.aff.chauvacae	Drosophila	chauvacae		melanogaster		melanogaster	melanogaster	Afrotropic	Afrotropic	Afrotropic		
D.affinis	Drosophila	affinis		obscura	affinis	obscura	obscura	Nearctic	Nearctic	Nearctic		
D.aldrichi	Drosophila	aldrichi		repleta	mulleri	virilis-repleta	virilis-repleta	Australasian	Australasian	EastAsia-Oceania		Introduced in NE
D.algonquin	Drosophila	algonquin		obscura	affinis	obscura	obscura	Nearctic	Nearctic	Nearctic		
D.ambigua	Drosophila	ambigua		obscura	obscura	obscura	obscura	Palearctic	Palearctic	Palearctic		
D.americana	Drosophila	americana		virilis	americana	virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		
D.ananassae	Drosophila	ananassae		melanogaster	ananassae	melanogaster	melanogaster	Indo-Malayan	Cosmopolitan	EastAsia-Oceania		circumtropical
D.anceps	Drosophila	anceps		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		
D.anomalata	Drosophila	anomalata		melanogaster	ananassae	melanogaster	melanogaster	Australasian	Australasian	EastAsia-Oceania		
D.anomalipes	Drosophila	anomalipes		anomalipes		hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.anomelani	Drosophila	anomelani		melanogaster	montium	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.arawakana	Drosophila	arawakana		cardini	dunni	immigrans-tripunctata	immigrans-tripunctata	Neotropic	Neotropic	Neotropic		
D.atripex	Drosophila	atripex		melanogaster	ananassae	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.atroscutellata	Drosophila	atroscutellata				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.austrosaltans	Drosophila	austrosaltans		saltans	saltans	saltans	saltans	Neotropic	Neotropic	Neotropic		
D.basisetae	Drosophila	basisetae		grimshawi	punalua	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.biarmipes.09	Drosophila	biarmipes		melanogaster	suzukii	suzukii	suzukii	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.biarmipes	Drosophila	biarmipes		melanogaster	suzukii	suzukii	suzukii	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.bipectinata	Drosophila	bipectinata		melanogaster	ananassae	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.birchii	Drosophila	birchii		melanogaster	montium	melanogaster	melanogaster	Australasian	Australasian	EastAsia-Oceania		
D.bocqueti	Drosophila	bocqueti		melanogaster	montium	melanogaster	melanogaster	Afrotropic	Afrotropic	Afrotropic		
D.borealis	Drosophila	borealis		virilis		virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		
D.bunnanda	Drosophila	bunnanda		melanogaster	montium	melanogaster	melanogaster	Australasian	Australasian	EastAsia-Oceania		
